Context_relevance,Faithfulness
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","0,7500"
"1,0000","1,0000"
"0,0000","0,6670"
"1,0000","0,5000"
"0,0000","0,0000"
"1,0000","0,6670"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","0,7500"
"1,0000","0,6670"
"1,0000","0,0000"
"1,0000","1,0000"
"1,0000","0,0000"
"1,0000","0,5000"
"1,0000","0,5000"
"0,0000","0,2500"
x,x
"1,0000","0,5000"
"1,0000","0,6670"
x,x
"0,0000","0,0000"
"1,0000","0,5000"
x,x
"0,0000","0,0000"
x,x
x,x
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"0,0000","0,2220"
x,x
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"0,0000","0,0000"
"0,0000","0,0000"
x,x
"0,0000","0,0000"
"1,0000","1,0000"
"1,0000","0,5000"
"1,0000","1,0000"
x,x
"0,0000","0,0000"
"1,0000","0,5000"
"1,0000","1,0000"
"1,0000","1,0000"
x,x
"1,0000","1,0000"
x,x
x,x
"1,0000","1,0000"
"1,0000","0,2500"
"1,0000","1,0000"
"0,0000","0,0000"
x,x
"1,0000","0,7500"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"0,0000","0,5000"
"1,0000","0,6670"
"1,0000","1,0000"
"1,0000","0,8750"
x,x
"1,0000","1,0000"
"1,0000","0,7500"
"1,0000","1,0000"
"1,0000","0,5000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","0,6000"
"1,0000","0,9090"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","0,5000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
"1,0000","1,0000"
