Context_relevance,Faithfulness
1.0,1.0
1.0,1.0
1.0,1.0
0.0,"0,667"
0.0,"0,889"
1.0,1.0
1.0,"0,750"
1.0,1.0
1.0,1.0
x,x
0,"0,000"
0,"0,000"
x,x
0,"0,000"
x,x
x,x
1.0,1.0
x,x
x,x
x,x
500,"0,000"
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
500,"0,750"
1.0,1.0
1.0,"0,667"
1.0,"0,667"
1.0,1.0
1.0,"0,900"
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
500,0.0
x,x
1.0,"0,667"
1.0,"0,800"
1.0,1.0
500,1.0
x,x
500,1.0
1.0,"0,923"
x,x
x,x
1.0,"0,333"
1.0,1.0
x,x
x,x
1.0,1.0
x,x
1.0,"0,750"
1.0,1.0
x,x
1.0,1.0
1.0,1.0
1.0,1.0
1.0,"0,714"
0.0,0.0
1.0,"0,800"
1.0,1.0
1.0,1.0
1.0,1.0
x,x
1.0,1.0
1.0,"0,500"
1.0,"0,500"
1.0,"0,857"
1.0,1.0
1.0,"0,833"
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
x,x
x,x
1.0,"0,500"
1.0,"0,333"
x,x
500,"0,750"
1.0,"0,333"
1.0,"0,677"
x,x
1.0,1.0
1.0,1.0
x,x
1.0,"0,250"
1.0,"0,500"
x,x
500,"0,833"
1.0,"0,333"
1.0,"0,677"
x,x
1.0,"0,900"
1.0,1.0
1.0,"0,667"
1.0,"0,833"
x,x
1.0,"0,667"
1.0,"0,333"
1.0,1.0
1.0,0.0
1.0,0.0
0.0,0.0
1.0,"0,333"
0,"0,333"
1.0,1.0
1.0,"0,500"
1.0,1.0
1.0,1.0
1.0,"0,667"
0.0,0.0
1.0,"0,333"
0.0,0.0
1.0,"0,333"
500,1.0
1.0,1.0
1.0,"0,857"
1.0,1.0
500,"0,800"
1.0,"0,667"
1.0,"0,857"
1.0,"0,818"
0.0,0.0
1.0,"0,750"
1.0,"0,857"
1.0,"0,500"
1.0,"0,500"
1.0,1.0
0.0,0.0
1.0,"0,333"
1.0,1.0
1.0,0.0
1.0,1.0
1.0,"0,750"
x,x
x,x
1.0,1.0
x,x
1.0,1.0
1.0,"0,800"
1.0,"0,750"
x,x
x,x
0.0,0.0
1.0,0.0
x,x
1.0,1.0
0.0,0.0
x,x
x,x
x,x
0.0,0.0
1.0,1.0
1.0,"0,800"
1.0,1.0
1.0,"0,667"
1.0,"0,667"
1.0,"0,167"
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,"0,778"
1.0,1.0
1.0,1.0
1.0,1.0
1.0,"0,667"
1.0,1.0
1.0,"0,667"
1.0,1.0
