timestamp,question,answer,answer_length,context_relevance,faithfulness,answer_relevancy,Pontuação Final
2025-10-06 17:56:30,Quais são os critérios para a distribuição de vagas de monitoria remunerada?," Os critérios para a distribuição de vagas de monitoria remunerada são:

1. **Distribuição Equitativa**: As vagas devem ser igualmente distribuídas entre os cursos de graduação da unidade.
2. **Limite de Vagas**: Cada componente curricular pode concorrer a, no máximo, uma vaga remunerada por semestre.
3. **Indicação de Componentes**: Os componentes que receberão vagas remuneradas são indicados semestralmente pelo Núcleo Docente Estruturante (NDE) e/ou pela Coordenação dos cursos de graduação.
4. **Prova Eliminatória**: Os Planos de Trabalho que solicitarem monitoria remunerada devem incluir uma prova escrita eliminatória, com nota mínima de 6,0 para classificação.",857,1,1,1,1
2025-10-06 17:53:13,Quais são as regras para a mudança de área de um docente e de uma disciplina?," Regras para mudança de área de um docente e de uma disciplina:

### Mudança de Área de uma Disciplina
- Permitida somente após a execução do modelo.
- Interstício mínimo de 2 anos na área.
- Necessária aprovação do Conselho Diretor da EMC/UFG.

### Mudança de Área de um Docente
- Interstício mínimo de 3 anos na área.",409,1,1,"0,998","0,9993333333"
2025-10-06 17:31:49,"Quais são as atribuições da Coordenadoria de Pós-Graduação (CPG), conforme o Art. 5º?"," As atribuições da Coordenadoria de Pós-Graduação (CPG), conforme o Art. 5º, são:

1. Aprovar comissões constituídas por docentes do Programa.
2. Deliberar sobre alterações no Regulamento ou casos omissos.
3. Aprovar planejamento anual ou semestral de disciplinas e atividades complementares.
4. Aprovar Edital de processo seletivo conforme normas institucionais.
5. Aprovar nomes de docentes para a Comissão de Seleção e comissões examinadoras.",518,1,1,"0,998","0,9993333333"
2025-10-06 17:03:39,Quais são os requisitos que um docente deve atender para poder exercer a atividade de tutoria?," Os requisitos que um docente deve atender para exercer a atividade de tutoria são:

- Ser docente lotado na EMC/UFG.
- Possuir formação em uma das especialidades da Engenharia.
- Realizar a adesão ao programa de tutoria por meio de ficha de inscrição.",354,1,1,"0,997","0,999"
2025-10-06 19:32:38,Quais são as finalidades da Universidade Federal de Goiás (UFG) de acordo com o Art. 5° e o Art. 6° do Estatuto?," As finalidades da Universidade Federal de Goiás (UFG) de acordo com o Art. 5° e o Art. 6° do Estatuto são:

- **Art. 5°**:
  - Transmitir, sistematizar e produzir conhecimentos.
  - Ampliar e aprofundar a formação humana, profissional, crítica e reflexiva.
  - Promover uma sociedade mais justa e soluções democráticas para problemas nacionais.

- **Art. 6°**: Para alcançar suas finalidades, a UFG:
  1. Promoverá todas as formas de conhecimento por meio do ensino, pesquisa e extensão.
  2. Ministrará ensino superior visando à formação para investigação, magistério e diversas atividades culturais, políticas e sociais.
  3. Manterá interação com a sociedade através da articulação com entidades públicas e privadas.
  4. Valorizará e divulgará a cultura nacional.
  5. Cooperará com poderes públicos e instituições científicas, culturais e educacionais.
  6. Desempenhará outras atividades na área de sua competência.",1062,1,1,"0,99","0,9966666667"
2025-10-06 17:44:19,"Segundo o Artigo 20 do Estatuto da UFG, qual a finalidade do Conselho de Integração Universidade-Sociedade?"," A finalidade do Conselho de Integração Universidade-Sociedade, segundo o Artigo 20 do Estatuto da UFG, é:

- Conhecer o plano de gestão da Universidade, suas políticas, estratégias gerenciais, projetos e programas.
- Discutir a política científica, cultural, artística e tecnológica da Universidade.
- Examinar as demandas existentes na sociedade, propondo novos empreendimentos, parcerias e atividades a serem desenvolvidas com diversos setores do poder público e da sociedade civil.",543,1,1,"0,986","0,9953333333"
2025-10-06 17:57:09,O que é necessário para que um Plano de Trabalho que solicita monitoria remunerada seja aprovado?," Para que um Plano de Trabalho que solicita monitoria remunerada seja aprovado, é necessário:

- **Cadastro no SIGAA**: Os coordenadores devem cadastrar os Planos de Trabalho no sistema.
- **Aprovação do Conselho**: O plano deve ser aprovado pelo Conselho Diretor da unidade.
- **Modelo de Formulário**: Apresentar o plano de acordo com o modelo de formulário próprio, incluindo:
  - Carga horária
  - Disponibilidade de horários
  - Principais atividades
- **Critérios de Seleção**: Podem ser definidos critérios adicionais conforme o edital de monitoria.",645,1,1,"0,983","0,9943333333"
2025-10-06 17:02:26,"Segundo a Resolução, quem é o responsável por designar os professores tutores e solicitar a emissão de portaria para a alocação dos alunos?", O responsável por designar os professores tutores e solicitar a emissão de portaria para a alocação dos alunos é a Coordenação do programa de tutoria.,254,1,1,"0,981","0,9936666667"
2025-10-06 17:10:02,"De acordo com o Art. 3º, quais são algumas das vedações expressas em relação à contratação ou designação de familiares no âmbito da UFG?","De acordo com o Art. 3º, as vedações em relação à contratação ou designação de familiares no âmbito da UFG incluem:

- Nomeação, designação ou contratação de familiares do(a) Reitor(a) e de ocupantes de funções de confiança para:
  - Função de confiança, direção, chefia ou assessoramento.
  - Atendimento à necessidade temporária de excepcional interesse público.

- Contratação direta de pessoa jurídica onde haja familiar em cargo de direção ou função comissionada na UFG.

- Prestação de serviços por familiares em contratos com empresas terceirizadas.

- Concessão de bolsas institucionais a familiares do Coordenador/Gestor do projeto, sem processo seletivo.

- Participação de familiares na orientação de trabalhos científicos e em bancas de concurso público.",879,1,1,"0,979","0,993"
2025-10-06 19:39:10,"De acordo com a resolução, quais são os tipos de estágio que um estudante de graduação da EMC/UFG pode realizar?"," Os tipos de estágio que um estudante de graduação da EMC/UFG pode realizar são:

- **Estágio Curricular Obrigatório**
- **Estágio Curricular Não Obrigatório**",224,1,1,"0,977","0,9923333333"
2025-10-06 19:44:36,Em que circunstâncias a carga horária de um estágio curricular não obrigatório pode ser validada como Atividade Curricular de Extensão (ACEx)?," A carga horária de um estágio curricular não obrigatório pode ser validada como Atividade Curricular de Extensão (ACEx) nas seguintes circunstâncias:

- **Condições Específicas**: Deve atender às condições estabelecidas em uma resolução específica.
- **Vínculo Atual**: A validação pode ser apenas do estágio desenvolvido no vínculo atual do estudante.
- **Decisão dos Conselhos**: A validação é facultada aos Conselhos Diretores ou Colegiados das Unidades Acadêmicas Especiais.",464,1,1,"0,977","0,9923333333"
2025-10-06 17:34:53,"Segundo o Art. 5º, quais são as atribuições da Coordenadoria de Pós-Graduação (CPG)?"," As atribuições da Coordenadoria de Pós-Graduação (CPG) são:

1. Aprovar comissões constituídas por docentes do Programa.
2. Deliberar sobre alterações no Regulamento ou casos omissos.
3. Aprovar planejamento anual ou semestral de disciplinas e atividades complementares.
4. Aprovar Edital de processo seletivo conforme normas institucionais.
5. Aprovar nomes de docentes para a Comissão de Seleção e comissões examinadoras.",497,1,1,"0,972","0,9906666667"
2025-10-06 19:42:07,"No estágio curricular não obrigatório, quem é o responsável pela concessão do seguro contra acidentes pessoais e da bolsa ou contraprestação acordada?"," - No estágio curricular não obrigatório, a responsabilidade pela concessão do seguro contra acidentes pessoais é da parte concedente do estágio.
- A concessão da bolsa ou contraprestação acordada também é de responsabilidade da parte concedente.",319,1,1,"0,967","0,989"
2025-10-06 19:41:21,Quais documentos um estudante deve encaminhar à CEPFM como exigência para a matrícula na disciplina de Estágio Supervisionado?," Para a matrícula na disciplina de Estágio Supervisionado, o estudante deve encaminhar à CEPFM:

- Termo de Compromisso de Estágio (em três vias)
- Plano de Atividades (em três vias)
- Extrato acadêmico do Portal do Estudante da UFG (em uma via)
- Requerimento de saída para estágio",355,1,1,"0,966","0,9886666667"
2025-10-06 17:29:05,"De acordo com o Art. 1º, quais são os objetivos gerais do Programa de Pós-Graduação em Direito e Políticas Públicas para os níveis de Mestrado Profissional e Doutorado Profissional?"," Os objetivos gerais do Programa de Pós-Graduação em Direito e Políticas Públicas são:

- **Mestrado Profissional**:
  - Formação científica de profissionais do Direito com foco em políticas públicas.
  - Produção de conhecimento aplicado à prática, visando aprimorar questões concretas em políticas públicas.
  - Incremento das capacidades institucionais para regulação, implementação, avaliação e controle de políticas públicas.

- **Doutorado Profissional**:
  - Formação científica avançada voltada para inovação jurídica e desenvolvimento de abordagens vanguardistas.
  - Incremento inovador das capacidades institucionais para regulação e controle de políticas públicas.
  - Refinamento da dogmática jurídica das políticas públicas e construção de soluções jurídicas transformadoras.",785,1,1,"0,965","0,9883333333"
2025-10-06 16:56:10,"De acordo com o Art. 5º, quais são as responsabilidades do aluno que participa do Programa de Tutoria?"," As responsabilidades do aluno que participa do Programa de Tutoria, conforme o Art. 5º, são:

I. Apresentar e discutir com o professor tutor, a cada período letivo, seu plano de pré-matrícula e matrícula, além de informar sua meta para integralização curricular.
II. Participar das atividades programadas pelo professor tutor.
III. Reportar ao professor tutor fatos relevantes da sua vida acadêmica quando necessário ou solicitado.
IV. Participar das atividades de avaliação do programa de tutoria quando solicitado.
V. Manter seu endereço eletrônico atualizado junto à coordenação do programa.",695,1,1,"0,964","0,988"
2025-10-06 17:49:49,"Segundo o Anexo I, em que ordem as turmas de disciplinas são distribuídas aos docentes?"," A distribuição das turmas de disciplinas aos docentes ocorre na seguinte ordem:

1. **Disciplinas obrigatórias** dos cursos de graduação e dos programas de pós-graduação stricto sensu.
2. **Disciplinas optativas**.
3. **Disciplinas de núcleo livre**.",330,1,1,"0,961","0,987"
